keywords,2019,2018
Aladdin,41.4224604,
Avengers,100,96.96538909
Black Panther,,100
Captain Marvel,49.72545024,
Deadpool 2,,45.49361447
Incredibles,,86.93285165
John Wick,19.92323698,
Jumanji,,33.64184056
Jurassic World,,59.66917392
Lion King,63.32539409,
Mission Impossible,,31.44862447
Shazam,15.96586286,
Solo Star Wars,,30.53561759
Spider man,45.49678112,
Toy Story,50.56007027,
