game,release date
Call of Duty: WWII,11/3/2017
Battlefield 1,10/21/2016
1-2-Switch,3/3/2017
Pokemon Ultra Sun and Ultra Moon,11/17/2017
Call of Duty: Infinite Warfare,11/4/2016
FIFA 18,9/29/2017
Donkey Kong Country: Tropical Freeze ,2/14/2014
God of War,4/20/2018
Star Wars Battlefront II,11/17/2017
Tom Clancy's Ghost Recon Wildlands ,3/7/2017
,
,
,
,
,
,
,
,
,
,
,
,
