Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
15376,Moon,Shooter,T,DS,Mastiff,Renegade Kid,6.7,,0.05,0.05,2009.0
15405,Ys: The Ark of Napishtim,Role-Playing,E10,PSP,Konami,Konami Software Shanghai,6.1,,0.05,0.05,2006.0
15408,World Series of Poker: Tournament of Champions 2007 Edition,Misc,T,Wii,Activision,Left Field Productions,4.6,,0.05,0.05,2006.0
15429,Rock of the Dead,Shooter,T,X360,Conspiracy Entertainment,Epicenter Studios,5.0,,0.05,0.05,2010.0
15467,Assassin's Creed: Altair's Chronicles,Action,T,DS,Ubisoft,Gameloft,5.7,,0.05,0.05,2008.0
15501,Devil's Third,Action,M,WiiU,Nintendo,Valhalla Game Studios,3.8,5.7,0.05,0.05,2015.0
15553,Trine 2: Director's Cut,Platform,E10,WiiU,Frozenbyte,Frozenbyte,7.8,,0.04,0.04,2012.0
15579,Heatseeker,Simulation,T,PSP,Codemasters,IR Gurus,4.8,,0.04,0.04,2007.0
15597,Lost Sphear,Role-Playing,E10,NS,Square Enix,Tokyo RPG Factory,6.5,,0.04,0.04,2018.0
15647,Castle of Shikigami III,Shooter,T,Wii,Aksys Games,Alfa System,7.2,,0.04,0.04,2008.0
15648,Pure Farming 2018,Simulation,E,PS4,Techland,Ice Flames,7.0,,0.04,0.04,2018.0
15653,Jerry Rice and Nitus' Dog Football,Sports,E,Wii,Tommo,Judo Baby,7.0,,0.04,0.04,2011.0
15697,Langrisser: Re:Incarnation Tensei,Role-Playing,T,3DS,Aksys Games,NCS,1.5,,0.04,0.04,2016.0
15707,Dead Head Fred,Action,M,PSP,D3 Publisher,Vicious Cycle,7.6,,0.04,0.04,2007.0
15747,Pocket Pool,Action,M,PSP,Eidos Interactive,Hyper-Devbox,3.4,,0.04,0.04,2007.0
15762,Sine Mora EX,Action,M,NS,THQ Nordic,Digital Reality,8.0,,0.04,0.04,2017.0
15763,Adventure Time: Explore the Dungeon Because I Don't Know!,Action-Adventure,E10,WiiU,D3Publisher,Way Forward,2.8,,0.04,0.04,2013.0
15835,Metal Gear Solid: Digital Graphic Novel,Misc,M,PSP,Konami,Kojima Productions,7.6,,0.04,0.04,2006.0
15838,Metal Slug XX,Shooter,T,PSP,Atlus,SNK Playmore Corporation,6.9,,0.04,0.04,2010.0
15916,Meteos: Disney Magic,Puzzle,E,DS,Disney Interactive Studios,Q Entertainment,7.3,,0.04,0.04,2007.0
15969,Bomberman: Act Zero,Puzzle,T,X360,Konami,Hudson Soft,3.5,,0.04,0.04,2006.0
15992,Astro Boy: The Video Game,Action,E10,PSP,D3 Publisher,iMAGi Studios,7.0,,0.04,0.04,2009.0
16032,Stoked: Big Air Edition,Sports,T,X360,Destineer,Bongfish GmbH,8.6,,0.04,0.04,2009.0
16085,FIFA World Cup Germany 2006,Sports,E,DS,EA Sports,EA Canada,7.3,,0.04,0.04,2006.0
16108,Fading Shadows,Puzzle,E,PSP,Agetec,Ivolgamus,7.0,,0.04,0.04,2008.0
16133,Bionicle Heroes,Shooter,E10,Wii,Eidos Interactive,Traveller's Tales,4.7,,0.04,0.04,2007.0
16143,Monster Boy and the Cursed Kingdom,Action-Adventure,E10,NS,FDG Entertainment,Game Atelier,8.0,9.5,0.04,0.04,2018.0
16148,Blade Strangers,Fighting,T,NS,Nicalis,Studio Saizensen,8.3,,0.04,0.04,2018.0
16150,C.O.R.E.,Shooter,M,DS,Graffiti,NoWay Studio,4.4,,0.04,0.04,2009.0
16172,Napoleon Dynamite: The Game,Puzzle,E10,PSP,Crave Entertainment,7 Studios,4.3,,0.04,0.04,2007.0
16289,Major League Baseball 2K8,Sports,E,PSP,2K Sports,Kush Games,6.5,,0.03,0.03,2008.0
16336,Metal Gear Solid: Snake Eater 3D,Action,M,3DS,Konami,Konami,7.9,,0.03,0.03,2012.0
16510,Animal Boxing,Fighting,E10,DS,Destineer,Gammick Entertainment,6.1,,0.03,0.03,2008.0
16519,Legend of the Dragon,Fighting,T,PSP,Game Factory,Neko Entertainment,2.9,,0.03,0.03,2007.0
16524,Astonishia Story,Role-Playing,E10,PSP,Ubisoft,Sonnori,4.8,,0.03,0.03,2006.0
16645,Guilty Gear XX Accent Core Plus,Fighting,T,Wii,Aksys Games,Arc System Works,7.0,,0.03,0.03,2009.0
16646,Rabbids Land,Party,E10,WiiU,Ubisoft,Ubisoft Paris,6.1,,0.03,0.03,2012.0
16652,Zero Escape: Virtue's Last Reward,Visual Novel,M,3DS,Aksys Games,Spike Chunsoft,9.0,,0.03,0.03,2012.0
16796,Hot Pixel,Puzzle,T,PSP,Atari,zSlide,5.7,,0.03,0.03,2007.0
16846,NBA 08,Sports,E,PSP,Sony Computer Entertainment,SCE San Diego Studio,7.2,,0.03,0.03,2007.0
16872,Penny-Punching Princess,Misc,T,NS,NIS America,Nippon Ichi Software,6.5,9.0,0.03,0.03,2018.0
16943,Stardew Valley,Simulation,E10,XOne,505 Games,ConcernedApe,8.8,,0.03,0.03,2017.0
16986,Driver: Parallel Lines,Racing,M,Wii,Ubisoft,Reflections Interactive,5.9,,0.03,0.03,2007.0
17094,The Lost Child,Role-Playing,T,NS,NIS America,Crim,7.5,,0.03,0.03,2018.0
17293,Lost Sphear,Role-Playing,E10,PS4,Square Enix,Tokyo RPG Factory,6.0,,0.02,0.02,2018.0
17328,Republique,Action-Adventure,M,PS4,GungHo Online Entertainment,Camouflaj,6.5,,0.02,0.02,2016.0
17472,Sniper Elite V2,Shooter,M,WiiU,505 Games,Rebellion Developments,7.0,,0.02,0.02,2013.0
17650,Undertale,Role-Playing,E10,NS,4-Aug,Toby Fox,9.0,,0.02,0.02,2018.0
17761,Chicken Hunter,Shooter,E10,DS,Mumbo Jumbo,Phenomedia,3.5,,0.02,0.02,2008.0
17846,Crime Scene,Adventure,M,DS,SouthPeak Interactive,White Birds Productions,8.0,,0.02,0.02,2010.0
17899,Runner3,Platform,E10,NS,Nicalis,Choice Provisions,7.5,9.0,0.02,0.02,2018.0
18187,Aedis Eclipse: Generation of Chaos,Role-Playing,E10,PSP,NIS America,Neverland Company,5.8,,0.02,0.02,2007.0
18194,Gal Metal!,Music,T,NS,Xseed Games,DMM Games,7.0,,0.02,0.02,2018.0
18348,Mario vs. Donkey Kong: Tipping Stars,Puzzle,E,WiiU,Nintendo,Nintendo Software Technology Corporation,6.4,,0.02,0.02,2015.0
18393,Assetto Corsa,Racing,E,XOne,505 Games,Kunos Simulazioni,6.0,,0.02,0.02,2016.0
18479,Yoku's Island Express,Action,E10,XOne,Villa Gorilla,Villa Gorilla,9.0,,0.02,0.02,2018.0
18502,Fast Racing Neo,Racing,E,WiiU,Shin'en,Shin'en,8.1,,0.01,0.01,2015.0
18522,Musynx,Music,RP,NS,PM Studios,PM Studios,7.5,,0.01,0.01,2018.0
18525,VOEZ,Music,E,NS,PM Studios,Rayark Inc.,8.5,,0.01,0.01,2018.0
18605,Flipping Death,Adventure,T,NS,Rising Star,Zoink Games,7.5,,0.01,0.01,2018.0
18625,Brawlout,Fighting,E10,NS,Merge Games,Angry Mob Games,6.2,,0.01,0.01,2018.0
18635,Yoku's Island Express,Action,E10,PS4,Villa Gorilla,Villa Gorilla,9.0,,0.01,0.01,2018.0
18775,Hotel Transylvania 3: Monsters Overboard,Action-Adventure,E10,NS,Outright Games,Torus Games,6.5,,0.01,0.01,2018.0
18924,Dungeon Explorer: Warriors of Ancient Arts,Role-Playing,T,PSP,Hudson Entertainment,Hudson Soft,6.1,,0.01,0.01,2008.0
18976,Hoshigami: Ruining Blue Earth Remix,Role-Playing,T,DS,Aksys Games,Barnhouse Effect,5.6,,0.01,0.01,2007.0
19129,Full Auto 2: Battlelines,Racing,T,PSP,Sega,Deep Fried Entertainment,5.5,,0.01,0.01,2007.0
19238,Pocket Racers,Racing,E,PSP,Konami,Blade Interactive,3.8,,0.01,0.01,2006.0
19376,Yoku's Island Express,Action,E10,NS,Villa Gorilla,Villa Gorilla,9.0,,0.01,0.01,2018.0
19394,Winx Club: Join the Club,Platform,E,PSP,Konami,n-Space,3.6,,0.01,0.01,2007.0
19414,Capcom Puzzle World,Puzzle,E,PSP,Capcom,Capcom,7.4,,0.01,0.01,2007.0
19516,Gurumin: A Monstrous Adventure,Role-Playing,E10,PSP,Mastiff,Nihon Falcom Corporation,7.4,,0.01,0.01,2007.0
19559,After Burner: Black Falcon,Simulation,T,PSP,Sega,Planet Moon Studios,7.4,,0.01,0.01,2007.0
19571,Blood Bowl,Sports,T,PSP,Focus Home Interactive,Cyanide Studio,5.0,,0.01,0.01,2010.0
19608,Legend of Kay Anniversary,Action-Adventure,E10,NS,THQ Nordic,THQ Nordic,6.5,,0.01,0.01,2018.0
19769,Happy Birthdays,Misc,E,NS,NIS America,Arc System Works,8.5,,0.01,0.01,2018.0
19959,Big Bumpin',Action,E,X360,King Games,Blitz Games,6.7,,0.0,0.0,2006.0
19966,Resident Evil 5: Gold Edition,Action,M,X360,Capcom,Capcom,9.3,,0.0,0.0,2010.0
19986,Madden NFL 09 All-Play (weekly US sales),Sports,E,Wii,Electronic Arts,EA Tiburon,8.0,,0.0,0.0,2008.0
20029,Teslagrad,Platform,E,WiiU,Rain Games,Rain Games,7.0,,0.0,0.0,2014.0
20085,Fitness Boxing,Music,T,NS,Nintendo,Imagineer,7.0,,0.0,0.0,2019.0
20276,Pure (JP sales),Racing,E,PS3,Disney Interactive Studios,Black Rock Studio,7.0,,0.0,0.0,2009.0
20324,Pokemon Rumble U,Action,E,WiiU,Nintendo,Ambrella,5.7,,0.0,0.0,2013.0
20376,Lost Planet: Extreme Condition Colonies Edition,Shooter,T,X360,Capcom,Capcom,7.8,,0.0,0.0,2008.0
20419,Pure (JP sales),Racing,E,X360,Disney Interactive Studios,Black Rock Studio,7.0,,0.0,0.0,2009.0
20537,The Elder Scrolls IV: Oblivion - Game of the Year Edition,Role-Playing,M,X360,2K Games,Bethesda Softworks,8.5,,0.0,0.0,2007.0
20564,LittleBigPlanet: Game of the Year Edition,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.5,,0.0,0.0,2009.0
20774,The Sims 3: Pets,Simulation,T,X360,Electronic Arts,The Sims Studio,7.0,,0.0,0.0,2011.0
