Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
13093,Risen 3: Titan Lords,Role-Playing,M,PS3,Deep Silver,Piranha Bytes,,,0.08,0.08,2014.0
13099,MXGP 3: The Official Motocross Videogame,Racing,E,NS,Milestone S.r.l.,Milestone,,,0.08,0.08,2017.0
13100,Are You Smarter Than a 5th Grader? Back to School,Misc,E,DS,THQ,THQ,,,0.08,0.08,2010.0
13101,Aibou DS,Adventure,,DS,Tecmo,Tecmo,,,0.08,0.08,2009.0
13102,Animal Planet: Emergency Vets,Simulation,E,DS,Activision,SilverBirch Studios,,,0.08,0.08,2009.0
13105,Guilty Gear XX Accent Core Plus,Fighting,T,PSP,Aksys Games,Arc System Works,,,0.08,0.08,2009.0
13106,Beat Sketch!,Misc,,PS3,Sony Computer Entertainment,"Will Co., Ltd. Noisycroak",,,0.08,0.08,2010.0
13107,Monster Energy Supercross - The Official Videogame,Racing,E,XOne,Milestone S.r.l.,Milestone S.r.l.,,,0.08,0.08,2018.0
13108,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Misc,E,XOne,Ubisoft,Ubisoft,,,0.08,0.08,2017.0
13109,Jaws: Ultimate Predator,Action,T,Wii,Majesco,Tectonic Studios,,,0.08,0.08,2011.0
13110,Bleach: Heat the Soul 5,Fighting,,PSP,Sony Computer Entertainment,Eighting,,,0.08,0.08,2008.0
13111,Nano Assault,Shooter,E10,3DS,Majesco,Shin'en Multimedia,6.0,,0.08,0.08,2011.0
13113,Exit,Puzzle,E,PSP,Ubisoft,Taito Corporation,7.9,,0.08,0.08,2006.0
13117,Ski-Doo Snowmobile Challenge,Racing,E,Wii,Valcon Games,ColdWood Interactive,,,0.08,0.08,2009.0
13119,America's Army: True Soldiers,Shooter,T,X360,Ubisoft,Red Storm Entertainment,4.5,,0.08,0.08,2007.0
13120,Lost Dimension,Role-Playing,T,PS3,Atlus,Lancarse,,,0.08,0.08,2015.0
13121,Ghostbusters (2016),Action,E10,PS4,Activision,FireForge Games,,,0.08,0.08,2016.0
13122,How to Train Your Dragon 2,Action-Adventure,E10,WiiU,Little Orbit,Torus Games,,,0.08,0.08,2014.0
13124,Konami Classics Vol. 1,Misc,T,X360,Konami,Konami,,,0.08,0.08,2009.0
13130,Don King Boxing,Sports,T,DS,2K Sports,Venom Games,,,0.08,0.08,2009.0
13131,Frantix,Puzzle,E,PSP,Sony Online Entertainment,Killer Game,5.4,,0.08,0.08,2005.0
13132,Princess Isabella: A Witch's Curse,Adventure,E,DS,GSP,Gogii Games,,,0.08,0.08,2010.0
13133,Agatha Christie's The ABC Murders,Adventure,T,PS4,Unfinished Pixel,Artefacts Studio,,,0.08,0.08,2016.0
13136,Knights in the Nightmare,Role-Playing,T,DS,Atlus,Sting,7.5,,0.08,0.08,2009.0
13137,TT Isle of Man: Ride on the Edge,Racing,E,XOne,Big Ben Interactive,Kylotonn,,,0.08,0.08,2018.0
13138,Marvel Nemesis: Rise of the Imperfects,Fighting,E10,DS,Electronic Arts,Sensory Sweep Studios,,,0.08,0.08,2005.0
13140,Nights of Azure,Role-Playing,T,PSV,Tecmo Koei,Gust,,,0.08,0.08,2016.0
13141,Smart Bomb,Puzzle,E10,PSP,Eidos Interactive,Core Design Ltd.,,,0.08,0.08,2005.0
13142,Deadliest Catch: Sea of Chaos,Sports,E10,PS3,Crave Entertainment,Double Tap,,,0.08,0.08,2010.0
13144,Blacksite: Area 51,Shooter,T,PS3,Midway Games,Midway Studios Austin,,,0.08,0.08,2007.0
13145,Knights Contract,Action,M,PS3,Namco Bandai,Game Republic,5.8,,0.08,0.08,2011.0
13148,Face Racers: Photo Finish,Racing,E,3DS,Majesco,Renegade Kid,,,0.08,0.08,2011.0
13149,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,E,PS3,THQ,THQ,,,0.08,0.08,2011.0
13150,Hammerin' Hero,Action,E10,PSP,Atlus,Irem Software Engineering,7.0,,0.08,0.08,2009.0
13152,Murder in Venice,Adventure,E10,DS,City Interactive,City Interactive,,,0.08,0.08,2011.0
13153,Warriors Orochi 3 Hyper,Misc,,WiiU,Tecmo Koei,Unknown,,,0.08,0.08,2012.0
13156,Get Fit with Mel B,Sports,E,Wii,Deep Silver,Lightning Fish,,,0.08,0.08,2011.0
13157,Kidou Senshi Gundam 00,Action,,DS,Namco Bandai,Bandai Namco Games,,,0.08,0.08,2008.0
13158,Kamen Rider Travelers Record,Role-Playing,,3DS,Bandai Namco Games,7thChord,,,0.08,0.08,2013.0
13159,Cloudy With a Chance of Meatballs,Adventure,E,PSP,Ubisoft,Ubisoft Shanghai,6.0,,0.08,0.08,2009.0
13160,Dead Island Definitive Collection,Action,,XOne,Deep Silver,Techland,,,0.08,0.08,2016.0
13161,Ride 2,Racing,E,XOne,Milestone S.r.l,Milestone S.r.l.,,,0.08,0.08,2017.0
13162,Shantae: Half-Genie Hero,Platform,T,PS4,Xseed Games,Way Forward Technologies,,,0.08,0.08,2016.0
13163,Mad Dog McCree: Gunslinger Pack,Shooter,T,Wii,Majesco,Digital Leisure,,,0.08,0.08,2009.0
13168,Harvey Birdman: Attorney at Law,Adventure,T,Wii,Capcom,High Voltage Software,,,0.08,0.08,2008.0
13169,Cartoon Network Battle Crashers,Action,E10,NS,GameMill,Magic Pockets,,,0.08,0.08,2017.0
13170,Samurai Warriors Chronicles 3,Action,,3DS,Tecmo Koei,Omega Force,,,0.08,0.08,2015.0
13171,Air Conflicts: Secret Wars,Simulation,T,X360,Kalypso,Games Farm,6.0,,0.08,0.08,2011.0
13172,WSC Real 11: World Snooker Championship,Sports,,PS3,Koch Media,Dark Energy Digital,,,0.08,0.08,2011.0
13174,The Secret Saturdays: Beasts of the 5th Sun,Action,E10,DS,D3 Publisher,OneNine Studios,,,0.08,0.08,2009.0
13176,SingStar: Made In Germany,Misc,,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.08,0.08,2009.0
13177,Charm Girls Club: My Fashion Show,Simulation,E,DS,Electronic Arts,Electronic Arts Casual Studios,,,0.08,0.08,2009.0
13178,Elite: Dangerous,Simulation,T,XOne,Frontier Developments,Frontier Developments,,,0.08,0.08,2017.0
13180,Martian Panic,Adventure,T,Wii,Zoo Games,Norbert Palacz,,,0.08,0.08,2010.0
13184,101-in-1 Sports Megamix,Sports,E10,DS,Atlus,Nordcurrent,,,0.08,0.08,2010.0
13185,SaGa 3: Jikuu no Hasha - Shadow or Light,Role-Playing,,DS,Square Enix,Square Enix,,,0.08,0.08,2011.0
13186,We Sing Rock!,Misc,,Wii,Nordic Games,Le Cortex,,,0.08,0.08,2011.0
13187,Just Dance: Disney Party 2,Music,E,XOne,Ubisoft,Ubisoft San Francisco,,,0.08,0.08,2015.0
13204,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,M,PS4,Xseed Games,Sandlot,,,0.08,0.08,2015.0
13206,"Sesame Street: Ready, Set, Grover!",Misc,EC,DS,Warner Bros. Interactive,Warner Bros. Interactive Entertainment,,,0.08,0.08,2011.0
13207,Gundam the 3D Battle,Action,,3DS,Namco Bandai,Namco Bandai Games,,,0.08,0.08,2011.0
13208,Pretty Rhythm Rainbow Live: Kira Kira My * Design,Simulation,,3DS,Takara Tomy,Takara Tomy ARTS,,,0.08,0.08,2013.0
13209,Midnight Play! Pack,Misc,T,DS,Ubisoft,Gameloft,,,0.08,0.08,2008.0
13210,NHL 2K7,Sports,E10,X360,2K Sports,2K Sports,8.0,,0.08,0.08,2006.0
13211,PAC-MAN and the Ghostly Adventures,Platform,E10,PS3,Namco Bandai Games,Monkey Bar Games,,,0.08,0.08,2013.0
13212,Playmobil Pirates,Action,E,DS,DreamCatcher Interactive,Morgen Studios,,,0.08,0.08,2009.0
13213,Miami Nights: Singles in the City,Simulation,T,DS,Ubisoft,Gameloft,,,0.08,0.08,2008.0
13214,Death Jr. and the Science Fair of Doom,Platform,E10,DS,Konami,Foundation 9 Entertainment,,,0.08,0.08,2007.0
13219,Build 'n Race,Racing,E,Wii,Zoo Games,Icon Games,,,0.08,0.08,2009.0
13220,Ben 10 (2017),Action,E10,NS,Outright Games,Torus Games,,,0.08,0.08,2017.0
13221,BlazBlue: Chrono Phantasma,Fighting,,PSV,Arc System Works,Arc System Works,,,0.08,0.08,2014.0
13222,Petz: Dogz Family,Simulation,E,PSP,Ubisoft,Ubisoft,,,0.08,0.08,2009.0
13224,The Legend of Heroes: Trails in the Sky First Chapter,Role-Playing,,PSV,Kadokawa Shoten,Nihon Falcom Corporation,,,0.08,0.08,2015.0
13225,Adventure Time: The Secret of the Nameless Kingdom,Adventure,E10,3DS,Little Orbit,WayForward Technologies,,,0.08,0.08,2014.0
13227,Spintires: MudRunner - American Wilds,Racing,E,PS4,Focus Home Interactive,Saber Interactive,,,0.08,0.08,2018.0
13229,ShellShock 2: Blood Trails,Shooter,M,PS3,Eidos Interactive,Rebellion Developments,,,0.08,0.08,2009.0
13230,Naruto Shippuden: Shinobi Rumble!!,Fighting,T,DS,Takara Tomy,Takara Tomy,,,0.08,0.08,2011.0
13231,Dream Day: Wedding Destinations,Simulation,E,DS,THQ,THQ,,,0.08,0.08,2009.0
13232,Me & My Katamari (JP sales),Puzzle,E,PSP,Namco,Namco,,,0.08,0.08,2006.0
13235,The Hidden,Adventure,E10,3DS,Majesco,1st Playable Productions,,,0.08,0.08,2011.0
13239,Pretty Rhythm: My Deco Rainbow Wedding,Simulation,,3DS,Takara Tomy,Takara Tomy ARTS,,,0.08,0.08,2013.0
13241,The Spiderwick Chronicles,Adventure,E10,DS,Sierra Entertainment,Stormfront Studios,,,0.08,0.08,2008.0
13242,Touch Mechanic,Simulation,E,DS,Aspyr,Kando Games,,,0.08,0.08,2009.0
13243,Sushi Academy,Action,E,DS,City Interactive,DTP Entertainment,,,0.08,0.08,2009.0
